1.png	2:83,202:133;12:343,212:393;648:316,848:366;4:485,204:535
1101.png	573:450,773:500;613:259,813:309;274:456,474:506;31:145,231:195;590:33,790:83;39:350,239:400;3:224,203:274
1102.png	77:404,277:454;35:93,235:143;444:385,644:435;551:111,751:161;25:191,225:241;606:243,806:293;597:11,797:61
1103.png	569:306,769:356;107:475,307:525;63:406,263:456;520:87,720:137;153:106,353:156;326:393,526:443;479:24,679:74
1104.png	310:400,510:450;173:104,373:154;582:481,782:531;507:13,707:63;606:369,806:419;381:84,581:134;580:200,780:250
1105.png	74:412,274:462;295:425,495:475;263:484,463:534;626:89,826:139;599:352,799:402;99:20,299:70;441:35,641:85
1106.png	421:129,621:179;212:489,412:539;292:436,492:486;126:1,326:51;29:344,229:394;530:30,730:80;19:135,219:185
1107.png	619:273,819:323;575:171,775:221;638:341,838:391;25:282,225:332;91:445,291:495;8:156,208:206;553:418,753:468
1108.png	597:270,797:320;294:422,494:472;526:388,726:438;517:33,717:83;179:102,379:152;21:442,221:492;550:481,750:531
1109.png	274:53,474:103;221:0,421:50;123:126,323:176;544:364,744:414;627:443,827:493;9:14,209:64;563:52,763:102
1111.png	457:305,657:355;208:454,408:504;425:446,625:496;12:401,212:451;29:255,229:305;13:160,213:210
1112.png	592:322,792:372;324:353,524:403;645:85,845:135;610:155,810:205;72:274,272:324;581:409,781:459
1113.png	617:179,817:229;34:357,234:407;219:436,419:486;220:289,420:339;32:69,232:119;626:123,826:173
1114.png	215:418,415:468;490:423,690:473;536:478,736:528;185:296,385:346;626:172,826:222;49:364,249:414
1115.png	33:286,233:336;480:273,680:323;31:359,231:409;140:423,340:473;587:329,787:379;33:12,233:62
1116.png	641:225,841:275;45:212,245:262;239:369,439:419;519:431,719:481;38:276,238:326;25:13,225:63
1117.png	52:165,252:215;443:376,643:426;12:298,212:348;168:376,368:426;573:147,773:197;628:279,828:329
1118.png	287:278,487:328;95:358,295:408;580:378,780:428;582:12,782:62;434:445,634:495;592:281,792:331
1119.png	390:460,590:510;113:275,313:325;40:56,240:106;649:21,849:71;624:111,824:161;147:377,347:427
1121.png	601:197,801:247;583:403,783:453;625:131,825:181;608:303,808:353
1122.png	93:186,293:236;611:130,811:180;586:286,786:336;624:445,824:495
1123.png	61:271,261:321;70:200,270:250;623:136,823:186;409:402,609:452
1124.png	278:358,478:408;21:281,221:331;581:301,781:351;635:246,835:296
1125.png	17:241,217:291;103:166,303:216;510:372,710:422;302:391,502:441
1126.png	231:353,431:403;99:124,299:174;30:432,230:482;47:243,247:293
1127.png	305:433,505:483;33:142,233:192;406:352,606:402;83:271,283:321
1128.png	633:303,833:353;15:481,215:531;412:403,612:453;124:388,324:438
1129.png	17:254,217:304;540:365,740:415;574:307,774:357;592:215,792:265
1131.png	226:469,426:519;579:398,779:448;241:340,441:390
1132.png	284:335,484:385;562:414,762:464;45:369,245:419
1133.png	401:450,601:500;312:346,512:396;635:323,835:373
1134.png	257:359,457:409;552:411,752:461;90:480,290:530
1135.png	92:386,292:436;52:318,252:368;588:427,788:477
1136.png	183:347,383:397;49:445,249:495;351:467,551:517
1137.png	142:487,342:537;314:380,514:430;110:406,310:456
1138.png	368:395,568:445;279:316,479:366;3:261,203:311
1139.png	249:434,449:484;441:381,641:431;30:418,230:468
1141.png	492:15,692:65;205:390,405:440;489:426,689:476;564:148,764:198
1142.png	513:210,713:260;570:267,770:317;496:348,696:398;197:362,397:412
1143.png	519:262,719:312;181:350,381:400;322:474,522:524;537:146,737:196
1144.png	609:223,809:273;473:62,673:112;87:387,287:437;310:392,510:442
1145.png	596:104,796:154;279:0,479:50;325:400,525:450;62:42,262:92
1146.png	592:114,792:164;344:438,544:488;432:44,632:94;140:373,340:423
1147.png	648:157,848:207;499:61,699:111;413:485,613:535;574:270,774:320
1148.png	467:442,667:492;577:289,777:339;429:238,629:288;466:369,666:419
1149.png	612:272,812:322;479:30,679:80;227:352,427:402;485:107,685:157
1151.png	557:445,757:495;23:70,223:120;598:9,798:59
1152.png	277:70,477:120;109:13,309:63;531:67,731:117
1153.png	244:14,444:64;622:467,822:517;552:411,752:461
1154.png	553:29,753:79;65:463,265:513;503:417,703:467
1155.png	568:480,768:530;347:4,547:54;581:6,781:56
1156.png	113:19,313:69;536:489,736:539;632:47,832:97
1157.png	613:68,813:118;529:10,729:60;60:465,260:515
1158.png	404:55,604:105;94:6,294:56;196:67,396:117
1159.png	19:0,219:50;590:467,790:517;2:437,202:487
1161.png	382:296,582:346;482:417,682:467;255:386,455:436;596:106,796:156
1162.png	430:307,630:357;574:429,774:479;304:417,504:467;355:227,555:277
1163.png	599:409,799:459;370:419,570:469;95:368,295:418;369:109,569:159
1164.png	467:107,667:157;485:418,685:468;353:333,553:383;343:255,543:305
1165.png	418:357,618:407;332:232,532:282;358:109,558:159;410:413,610:463
1166.png	325:235,525:285;597:393,797:443;614:128,814:178;163:416,363:466
1167.png	96:423,296:473;343:416,543:466;596:377,796:427;169:361,369:411
1168.png	327:264,527:314;642:92,842:142;256:442,456:492;461:403,661:453
1169.png	325:443,525:493;332:204,532:254;600:95,800:145;349:255,549:305
1171.png	474:292,674:342;266:365,466:415;644:241,844:291
1172.png	517:201,717:251;445:386,645:436;461:52,661:102
1173.png	496:209,696:259;626:475,826:525;604:62,804:112
1174.png	540:186,740:236;454:353,654:403;451:254,651:304
1175.png	23:387,223:437;519:112,719:162;572:399,772:449
1176.png	502:12,702:62;456:394,656:444;621:207,821:257
1177.png	576:170,776:220;393:385,593:435;60:323,260:373
1178.png	349:344,549:394;536:199,736:249;454:423,654:473
1179.png	607:241,807:291;475:32,675:82;514:419,714:469
1181.png	61:194,261:244;513:488,713:538;62:252,262:302;34:139,234:189;7:419,207:469;603:409,803:459
1182.png	20:146,220:196;62:419,262:469;635:421,835:471;55:355,255:405;612:338,812:388;639:96,839:146
1183.png	574:361,774:411;43:184,243:234;200:488,400:538;584:269,784:319;2:110,202:160;55:310,255:360
1184.png	572:132,772:182;41:353,241:403;43:103,243:153;66:208,266:258;586:388,786:438;570:450,770:500
1185.png	46:273,246:323;582:341,782:391;77:480,277:530;63:419,263:469;52:98,252:148;77:155,277:205
1186.png	599:121,799:171;28:202,228:252;586:425,786:475;51:136,251:186;63:339,263:389;75:472,275:522
1187.png	57:336,257:386;39:402,239:452;637:301,837:351;36:479,236:529;39:235,239:285;48:106,248:156
1188.png	586:453,786:503;645:265,845:315;642:151,842:201;19:62,219:112;20:176,220:226;74:300,274:350
1189.png	579:471,779:521;77:387,277:437;5:139,205:189;643:21,843:71;51:326,251:376;0:32,200:82
1191.png	216:460,416:510;416:80,616:130;584:376,784:426;308:24,508:74;19:34,219:84
1192.png	586:403,786:453;445:468,645:518;216:52,416:102;47:417,247:467;419:68,619:118
1193.png	176:87,376:137;20:313,220:363;439:481,639:531;140:483,340:533;571:175,771:225
1194.png	429:422,629:472;186:80,386:130;25:215,225:265;214:401,414:451;555:6,755:56
1195.png	217:465,417:515;23:26,223:76;433:14,633:64;16:107,216:157;29:265,229:315
1196.png	449:23,649:73;594:394,794:444;2:319,202:369;513:452,713:502;12:432,212:482
1197.png	367:30,567:80;399:417,599:467;278:96,478:146;22:82,222:132;596:265,796:315
1198.png	390:27,590:77;19:386,219:436;642:153,842:203;595:342,795:392;21:456,221:506
1199.png	616:305,816:355;626:2,826:52;410:388,610:438;15:467,215:517;640:374,840:424
1201.png	160:106,360:156;506:338,706:388;112:272,312:322;407:100,607:150;43:350,243:400
1202.png	267:287,467:337;253:33,453:83;558:321,758:371;214:136,414:186;221:192,421:242
1203.png	630:320,830:370;27:323,227:373;140:78,340:128;298:202,498:252;154:146,354:196
1204.png	77:349,277:399;640:323,840:373;534:374,734:424;162:281,362:331;45:64,245:114
1205.png	75:119,275:169;376:246,576:296;350:130,550:180;292:330,492:380;390:42,590:92
1206.png	643:298,843:348;158:80,358:130;92:206,292:256;157:15,357:65;404:189,604:239
1207.png	234:211,434:261;14:261,214:311;168:328,368:378;217:263,417:313;646:336,846:386
1208.png	407:262,607:312;249:153,449:203;74:90,274:140;126:283,326:333;54:23,254:73
1209.png	470:285,670:335;242:353,442:403;76:62,276:112;282:37,482:87;544:345,744:395
1211.png	7:378,207:428;648:486,848:536;583:188,783:238;642:305,842:355
1212.png	0:176,200:226;12:275,212:325;626:403,826:453;8:407,208:457
1213.png	628:129,828:179;606:432,806:482;9:367,209:417;642:332,842:382
1214.png	602:459,802:509;44:479,244:529;38:253,238:303;25:146,225:196
1215.png	639:354,839:404;13:248,213:298;45:353,245:403;9:441,209:491
1216.png	16:155,216:205;9:453,209:503;37:264,237:314;612:264,812:314
1217.png	33:270,233:320;589:222,789:272;606:159,806:209;34:168,234:218
1218.png	30:352,230:402;616:340,816:390;48:189,248:239;604:145,804:195
1219.png	6:132,206:182;629:158,829:208;625:281,825:331;595:227,795:277
1221.png	628:448,828:498;20:13,220:63;21:143,221:193;631:297,831:347;622:73,822:123
1222.png	621:57,821:107;627:386,827:436;4:188,204:238;619:110,819:160;632:471,832:521
1223.png	623:282,823:332;2:80,202:130;18:365,218:415;646:411,846:461;22:298,222:348
1224.png	619:485,819:535;15:156,215:206;629:397,829:447;649:233,849:283;11:329,211:379
1225.png	1:281,201:331;620:271,820:321;623:433,823:483;621:168,821:218;16:368,216:418
1226.png	634:195,834:245;648:317,848:367;619:109,819:159;23:408,223:458;5:227,205:277
1227.png	18:240,218:290;631:205,831:255;640:65,840:115;647:280,847:330;626:390,826:440
1228.png	7:173,207:223;634:250,834:300;626:188,826:238;9:0,209:50;621:131,821:181
1229.png	638:11,838:61;646:124,846:174;644:220,844:270;13:15,213:65;629:301,829:351
1231.png	620:11,820:61;224:7,424:57;185:430,385:480;645:124,845:174;645:64,845:114;643:377,843:427
1232.png	634:80,834:130;19:143,219:193;169:47,369:97;641:280,841:330;176:426,376:476;425:481,625:531
1233.png	336:8,536:58;621:391,821:441;135:28,335:78;28:327,228:377;290:448,490:498;18:88,218:138
1234.png	264:465,464:515;614:80,814:130;150:36,350:86;23:274,223:324;646:443,846:493;31:101,231:151
1235.png	256:33,456:83;50:29,250:79;469:408,669:458;634:108,834:158;447:476,647:526;529:53,729:103
1236.png	618:113,818:163;436:426,636:476;638:452,838:502;562:16,762:66;14:100,214:150;13:46,213:96
1237.png	451:9,651:59;112:408,312:458;629:202,829:252;200:471,400:521;431:440,631:490;622:84,822:134
1238.png	45:8,245:58;639:399,839:449;101:467,301:517;8:179,208:229;473:46,673:96;568:488,768:538
1239.png	393:441,593:491;607:33,807:83;627:468,827:518;394:1,594:51;6:228,206:278;636:142,836:192
1241.png	191:3,391:53;579:80,779:130;649:11,849:61;587:282,787:332
1242.png	597:144,797:194;596:280,796:330;643:51,843:101;4:119,204:169
1243.png	631:248,831:298;587:69,787:119;3:82,203:132;7:202,207:252
1244.png	0:218,200:268;213:0,413:50;14:132,214:182;22:68,222:118
1245.png	539:4,739:54;645:97,845:147;22:185,222:235;9:38,209:88
1246.png	628:143,828:193;615:68,815:118;15:7,215:57;603:248,803:298
1247.png	635:70,835:120;605:124,805:174;263:1,463:51;19:139,219:189
1248.png	595:66,795:116;580:196,780:246;598:276,798:326;8:244,208:294
1249.png	614:259,814:309;624:135,824:185;0:261,200:311;558:2,758:52
1251.png	208:476,408:526;185:417,385:467;412:477,612:527;649:177,849:227;608:13,808:63;575:114,775:164
1252.png	266:441,466:491;517:382,717:432;572:300,772:350;55:444,255:494;22:24,222:74;3:364,203:414
1253.png	37:44,237:94;614:415,814:465;134:481,334:531;77:395,277:445;595:79,795:129;346:413,546:463
1254.png	287:384,487:434;539:482,739:532;59:266,259:316;7:392,207:442;17:34,217:84;39:158,239:208
1255.png	590:475,790:525;351:375,551:425;11:21,211:71;251:439,451:489;39:175,239:225;636:300,836:350
1256.png	305:413,505:463;426:470,626:520;617:24,817:74;566:392,766:442;4:378,204:428;609:157,809:207
1257.png	20:228,220:278;566:451,766:501;600:62,800:112;99:484,299:534;575:226,775:276;45:31,245:81
1258.png	438:396,638:446;41:191,241:241;591:9,791:59;591:472,791:522;641:286,841:336;66:418,266:468
1259.png	589:236,789:286;629:39,829:89;185:383,385:433;460:424,660:474;55:117,255:167;311:485,511:535
1261.png	387:416,587:466;144:408,344:458;258:288,458:338;84:11,284:61
1262.png	223:330,423:380;97:41,297:91;300:442,500:492;538:468,738:518
1263.png	502:458,702:508;42:28,242:78;210:303,410:353;267:395,467:445
1264.png	206:301,406:351;324:464,524:514;0:357,200:407;150:55,350:105
1265.png	218:461,418:511;107:295,307:345;509:425,709:475;127:367,327:417
1266.png	32:431,232:481;255:295,455:345;361:409,561:459;638:424,838:474
1267.png	34:10,234:60;161:416,361:466;143:321,343:371;550:455,750:505
1268.png	183:489,383:539;442:482,642:532;242:321,442:371;33:355,233:405
1269.png	45:0,245:50;192:89,392:139;262:464,462:514;39:463,239:513
1271.png	601:250,801:300;6:66,206:116;582:362,782:412;324:9,524:59;46:414,246:464;14:217,214:267;593:425,793:475
1272.png	211:51,411:101;635:163,835:213;10:157,210:207;619:353,819:403;622:43,822:93;607:471,807:521;45:280,245:330
1273.png	615:389,815:439;432:29,632:79;298:489,498:539;183:57,383:107;638:140,838:190;68:147,268:197;74:341,274:391
1274.png	12:361,212:411;621:3,821:53;77:186,277:236;43:46,243:96;63:274,263:324;626:70,826:120;633:290,833:340
1275.png	22:12,222:62;580:259,780:309;423:35,623:85;10:137,210:187;624:27,824:77;627:327,827:377;622:436,822:486
1276.png	146:56,346:106;600:259,800:309;484:10,684:60;642:99,842:149;64:169,264:219;629:363,829:413;624:425,824:475
1277.png	5:86,205:136;607:423,807:473;1:406,201:456;9:354,209:404;68:223,268:273;140:29,340:79;598:18,798:68
1278.png	616:365,816:415;381:14,581:64;635:224,835:274;644:303,844:353;262:487,462:537;598:122,798:172;644:445,844:495
1279.png	47:192,247:242;18:341,218:391;258:1,458:51;580:17,780:67;645:140,845:190;589:375,789:425;2:282,202:332
1281.png	225:486,425:536;616:39,816:89;134:31,334:81;340:23,540:73
1282.png	625:320,825:370;109:29,309:79;349:52,549:102;585:52,785:102
1283.png	34:306,234:356;5:53,205:103;362:8,562:58;595:374,795:424
1284.png	580:49,780:99;55:24,255:74;25:329,225:379;467:489,667:539
1285.png	495:32,695:82;592:414,792:464;519:192,719:242;306:475,506:525
1286.png	49:444,249:494;20:243,220:293;353:14,553:64;595:219,795:269
1287.png	260:24,460:74;180:480,380:530;604:255,804:305;10:20,210:70
1288.png	27:357,227:407;638:417,838:467;508:24,708:74;82:470,282:520
1289.png	350:489,550:539;132:1,332:51;640:200,840:250;600:393,800:443
1291.png	481:72,681:122;493:335,693:385;40:158,240:208;613:160,813:210;215:488,415:538
1292.png	302:484,502:534;522:313,722:363;348:111,548:161;548:379,748:429;9:63,209:113
1293.png	265:325,465:375;461:166,661:216;464:224,664:274;571:403,771:453;166:89,366:139
1294.png	181:364,381:414;593:217,793:267;599:126,799:176;607:345,807:395;623:480,823:530
1295.png	351:99,551:149;329:318,529:368;531:423,731:473;204:248,404:298;263:159,463:209
1296.png	329:297,529:347;401:456,601:506;318:240,518:290;358:381,558:431;434:134,634:184
1297.png	303:245,503:295;580:203,780:253;189:364,389:414;176:433,376:483;272:179,472:229
1298.png	271:408,471:458;442:281,642:331;489:167,689:217;515:227,715:277;622:66,822:116
1299.png	235:178,435:228;7:131,207:181;553:399,753:449;317:237,517:287;222:70,422:120
1301.png	10:281,210:331;633:173,833:223;302:12,502:62
1302.png	145:43,345:93;640:360,840:410;510:4,710:54
1303.png	645:481,845:531;601:147,801:197;502:56,702:106
1304.png	639:294,839:344;612:363,812:413;124:84,324:134
1305.png	607:176,807:226;573:10,773:60;54:330,254:380
1306.png	377:51,577:101;41:489,241:539;53:379,253:429
1307.png	35:437,235:487;614:357,814:407;450:29,650:79
1308.png	366:27,566:77;70:23,270:73;621:381,821:431
1309.png	433:71,633:121;628:139,828:189;641:69,841:119
1311.png	592:469,792:519;204:486,404:536
1312.png	12:477,212:527;286:429,486:479
1313.png	218:433,418:483;366:485,566:535
1314.png	532:474,732:524;1:469,201:519
1315.png	645:451,845:501;202:452,402:502
1316.png	438:480,638:530;145:478,345:528
1317.png	7:440,207:490;388:436,588:486
1318.png	479:428,679:478;233:460,433:510
1319.png	150:472,350:522;446:455,646:505
1321.png	34:367,234:417;632:104,832:154;614:406,814:456;3:43,203:93
1322.png	92:487,292:537;43:35,243:85;354:432,554:482;44:400,244:450
1323.png	17:114,217:164;189:417,389:467;568:432,768:482;25:359,225:409
1324.png	48:377,248:427;357:431,557:481;128:447,328:497;18:294,218:344
1325.png	635:325,835:375;3:34,203:84;47:404,247:454;312:423,512:473
1326.png	521:449,721:499;171:435,371:485;631:161,831:211;65:382,265:432
1327.png	67:232,267:282;407:452,607:502;123:429,323:479;79:290,279:340
1328.png	631:117,831:167;87:470,287:520;644:200,844:250;378:403,578:453
1329.png	11:267,211:317;490:484,690:534;6:176,206:226;11:124,211:174
1331.png	477:475,677:525;642:122,842:172;119:470,319:520;8:382,208:432;301:76,501:126
1332.png	14:49,214:99;418:112,618:162;370:477,570:527;57:243,257:293;647:446,847:496
1333.png	70:425,270:475;580:386,780:436;333:67,533:117;17:312,217:362;51:209,251:259
1334.png	85:169,285:219;389:68,589:118;638:448,838:498;371:482,571:532;21:50,221:100
1335.png	620:60,820:110;597:320,797:370;34:86,234:136;503:114,703:164;629:178,829:228
1336.png	506:113,706:163;15:222,215:272;49:334,249:384;8:437,208:487;190:97,390:147
1337.png	22:376,222:426;98:93,298:143;544:51,744:101;357:458,557:508;563:131,763:181
1338.png	632:314,832:364;322:125,522:175;95:483,295:533;10:369,210:419;636:48,836:98
1339.png	35:258,235:308;476:74,676:124;23:74,223:124;30:440,230:490;244:460,444:510
1341.png	243:79,443:129;30:362,230:412;577:454,777:504;186:12,386:62;533:60,733:110;162:469,362:519
1342.png	387:38,587:88;61:484,261:534;27:256,227:306;227:408,427:458;488:486,688:536;633:49,833:99
1343.png	574:425,774:475;104:454,304:504;221:39,421:89;617:40,817:90;14:34,214:84;593:482,793:532
1344.png	621:23,821:73;0:462,200:512;453:483,653:533;43:67,243:117;456:402,656:452;122:405,322:455
1345.png	9:310,209:360;346:5,546:55;87:1,287:51;615:10,815:60;487:480,687:530;556:408,756:458
1346.png	122:439,322:489;33:129,233:179;334:413,534:463;639:26,839:76;352:78,552:128;625:476,825:526
1347.png	300:435,500:485;497:23,697:73;33:150,233:200;542:403,742:453;139:58,339:108;98:459,298:509
1348.png	395:445,595:495;78:62,278:112;441:15,641:65;57:456,257:506;527:66,727:116;12:323,212:373
1349.png	272:468,472:518;39:26,239:76;320:30,520:80;556:55,756:105;15:269,215:319;163:417,363:467
1351.png	141:369,341:419;616:275,816:325;92:459,292:509
1352.png	70:187,270:237;646:165,846:215;508:406,708:456
1353.png	60:230,260:280;260:399,460:449;642:197,842:247
1354.png	239:442,439:492;95:266,295:316;441:409,641:459
1355.png	395:366,595:416;597:304,797:354;556:447,756:497
1356.png	82:283,282:333;585:207,785:257;586:121,786:171
1357.png	337:395,537:445;110:414,310:464;592:270,792:320
1358.png	563:371,763:421;120:451,320:501;282:367,482:417
1359.png	30:116,230:166;586:191,786:241;6:455,206:505
1361.png	86:85,286:135;588:437,788:487
1362.png	421:31,621:81;448:458,648:508
1363.png	250:11,450:61;10:65,210:115
1364.png	261:471,461:521;20:475,220:525
1365.png	441:6,641:56;574:466,774:516
1366.png	29:459,229:509;619:39,819:89
1367.png	127:49,327:99;493:434,693:484
1368.png	485:47,685:97;15:11,215:61
1369.png	30:59,230:109;550:458,750:508
1371.png	576:35,776:85;219:435,419:485;58:243,258:293;615:295,815:345
1372.png	624:112,824:162;93:458,293:508;14:323,214:373;559:449,759:499
1373.png	61:2,261:52;486:486,686:536;37:110,237:160;72:306,272:356
1374.png	581:158,781:208;576:320,776:370;240:1,440:51;114:475,314:525
1375.png	47:279,247:329;553:447,753:497;318:479,518:529;588:377,788:427
1376.png	56:204,256:254;35:350,235:400;574:95,774:145;73:283,273:333
1377.png	54:278,254:328;591:104,791:154;582:320,782:370;278:1,478:51
1378.png	123:474,323:524;53:129,253:179;630:140,830:190;20:252,220:302
1379.png	566:217,766:267;425:12,625:62;641:380,841:430;447:487,647:537
1381.png	152:460,352:510;104:13,304:63;639:170,839:220
1382.png	644:459,844:509;599:65,799:115;581:339,781:389
1383.png	121:471,321:521;344:481,544:531;642:54,842:104
1384.png	439:485,639:535;552:31,752:81;65:39,265:89
1385.png	635:452,835:502;626:6,826:56;125:330,325:380
1386.png	122:479,322:529;107:68,307:118;577:339,777:389
1387.png	380:335,580:385;395:443,595:493;321:391,521:441
1388.png	74:42,274:92;517:448,717:498;619:59,819:109
1389.png	285:43,485:93;554:476,754:526;174:481,374:531
1391.png	241:125,441:175;19:473,219:523;538:82,738:132;82:382,282:432
1392.png	621:472,821:522;109:446,309:496;195:85,395:135;503:141,703:191
1393.png	389:146,589:196;510:372,710:422;467:463,667:513;172:124,372:174
1394.png	3:385,203:435;463:414,663:464;86:112,286:162;452:488,652:538
1395.png	575:415,775:465;25:83,225:133;96:424,296:474;569:82,769:132
1396.png	523:415,723:465;129:426,329:476;447:472,647:522;493:141,693:191
1397.png	135:477,335:527;255:389,455:439;193:134,393:184;526:364,726:414
1398.png	463:425,663:475;503:145,703:195;486:477,686:527;181:381,381:431
1399.png	420:382,620:432;187:155,387:205;398:155,598:205;473:470,673:520
1401.png	533:406,733:456;123:480,323:530;113:417,313:467;187:366,387:416;633:74,833:124
1402.png	616:482,816:532;67:456,267:506;401:372,601:422;578:131,778:181;314:470,514:520
1403.png	461:432,661:482;170:488,370:538;51:370,251:420;297:369,497:419;599:357,799:407
1404.png	187:469,387:519;373:377,573:427;616:399,816:449;404:447,604:497;6:258,206:308
1405.png	363:416,563:466;505:361,705:411;615:451,815:501;644:84,844:134;162:407,362:457
1406.png	407:432,607:482;641:415,841:465;110:367,310:417;23:465,223:515;508:357,708:407
1407.png	579:470,779:520;332:483,532:533;556:391,756:441;55:63,255:113;318:395,518:445
1408.png	45:462,245:512;592:442,792:492;156:390,356:440;582:71,782:121;80:98,280:148
1409.png	1:341,201:391;310:360,510:410;489:440,689:490;542:387,742:437;252:418,452:468
1411.png	574:197,774:247;26:210,226:260;622:274,822:324;430:349,630:399
1412.png	620:75,820:125;557:167,757:217;30:337,230:387;636:278,836:328
1413.png	246:355,446:405;28:171,228:221;586:341,786:391;37:100,237:150
1414.png	17:335,217:385;553:88,753:138;384:359,584:409;21:128,221:178
1415.png	612:132,812:182;549:266,749:316;636:356,836:406;17:252,217:302
1416.png	94:85,294:135;84:136,284:186;556:136,756:186;640:239,840:289
1417.png	628:75,828:125;582:147,782:197;3:278,203:328;5:64,205:114
1418.png	104:215,304:265;618:251,818:301;644:317,844:367;61:287,261:337
1419.png	61:300,261:350;637:96,837:146;8:119,208:169;94:29,294:79
1421.png	2:212,202:262;16:66,216:116;635:390,835:440
1422.png	638:199,838:249;648:63,848:113;0:396,200:446
1423.png	15:447,215:497;640:79,840:129;639:432,839:482
1424.png	6:39,206:89;12:435,212:485;13:254,213:304
1425.png	641:113,841:163;649:323,849:373;647:456,847:506
1426.png	644:185,844:235;4:220,204:270;12:57,212:107
1427.png	5:317,205:367;649:149,849:199;4:44,204:94
1428.png	3:423,203:473;632:89,832:139;10:159,210:209
1429.png	0:470,200:520;1:212,201:262;644:61,844:111
1431.png	599:261,799:311;566:446,766:496;44:249,244:299;578:124,778:174;62:455,262:505;37:336,237:386
1432.png	82:261,282:311;22:363,222:413;600:454,800:504;81:468,281:518;51:55,251:105;607:220,807:270
1433.png	54:313,254:363;636:392,836:442;84:208,284:258;618:334,818:384;642:134,842:184;6:423,206:473
1434.png	13:131,213:181;24:230,224:280;19:401,219:451;615:106,815:156;80:332,280:382;622:472,822:522
1435.png	608:313,808:363;39:387,239:437;16:333,216:383;583:423,783:473;602:162,802:212;54:104,254:154
1436.png	18:402,218:452;24:160,224:210;607:219,807:269;596:295,796:345;645:53,845:103;20:248,220:298
1437.png	646:322,846:372;87:323,287:373;0:195,200:245;71:249,271:299;21:467,221:517;629:262,829:312
1438.png	564:345,764:395;638:171,838:221;13:421,213:471;579:237,779:287;22:325,222:375;26:161,226:211
1439.png	568:132,768:182;61:248,261:298;36:336,236:386;640:389,840:439;571:186,771:236;6:469,206:519
1441.png	541:310,741:360;84:204,284:254;237:408,437:458;4:350,204:400;533:73,733:123;286:346,486:396;636:440,836:490
1442.png	98:242,298:292;14:394,214:444;316:345,516:395;353:483,553:533;632:294,832:344;579:436,779:486;84:21,284:71
1443.png	453:439,653:489;63:410,263:460;274:345,474:395;18:70,218:120;38:488,238:538;541:198,741:248;326:242,526:292
1444.png	584:170,784:220;286:410,486:460;7:220,207:270;436:344,636:394;85:66,285:116;496:460,696:510;573:245,773:295
1445.png	317:484,517:534;549:65,749:115;35:370,235:420;100:65,300:115;339:419,539:469;461:349,661:399;536:184,736:234
1446.png	0:70,200:120;40:479,240:529;622:56,822:106;575:162,775:212;279:402,479:452;644:279,844:329;636:467,836:517
1447.png	578:252,778:302;584:52,784:102;572:472,772:522;492:367,692:417;168:446,368:496;67:340,267:390;70:262,270:312
1448.png	418:456,618:506;603:283,803:333;626:43,826:93;103:55,303:105;84:189,284:239;217:356,417:406;503:397,703:447
1449.png	649:106,849:156;607:213,807:263;111:146,311:196;298:476,498:526;253:421,453:471;499:383,699:433;111:47,311:97
1451.png	11:139,211:189;544:375,744:425
1452.png	67:393,267:443;43:269,243:319
1453.png	227:251,427:301;41:359,241:409
1454.png	54:369,254:419;83:284,283:334
1455.png	77:373,277:423;536:248,736:298
1456.png	109:314,309:364;13:380,213:430
1457.png	178:243,378:293;12:93,212:143
1458.png	324:401,524:451;77:292,277:342
1459.png	545:276,745:326;147:364,347:414
1461.png	581:316,781:366;527:396,727:446;556:113,756:163;581:186,781:236;574:470,774:520
1462.png	629:351,829:401;518:123,718:173;621:51,821:101;470:275,670:325;609:209,809:259
1463.png	455:439,655:489;609:233,809:283;514:29,714:79;628:108,828:158;613:377,813:427
1464.png	489:33,689:83;622:443,822:493;452:287,652:337;637:121,837:171;506:375,706:425
1465.png	560:19,760:69;581:133,781:183;613:370,813:420;554:204,754:254;595:466,795:516
1466.png	448:398,648:448;470:73,670:123;549:249,749:299;573:467,773:517;587:193,787:243
1467.png	441:45,641:95;607:296,807:346;507:453,707:503;601:135,801:185;529:382,729:432
1468.png	566:20,766:70;509:371,709:421;451:165,651:215;467:315,667:365;513:463,713:513
1469.png	479:315,679:365;591:207,791:257;518:465,718:515;618:387,818:437;475:2,675:52
1471.png	54:313,254:363;106:387,306:437;280:318,480:368
1472.png	271:410,471:460;320:21,520:71;269:340,469:390
1473.png	338:255,538:305;96:16,296:66;80:269,280:319
1474.png	222:423,422:473;299:277,499:327;350:341,550:391
1475.png	322:431,522:481;13:344,213:394;358:19,558:69
1476.png	40:331,240:381;343:250,543:300;222:22,422:72
1477.png	161:393,361:443;331:13,531:63;115:314,315:364
1478.png	137:18,337:68;45:315,245:365;142:237,342:287
1479.png	117:423,317:473;199:265,399:315;224:370,424:420
1481.png	38:328,238:378;426:9,626:59;145:465,345:515;120:212,320:262
1482.png	258:206,458:256;125:448,325:498;584:479,784:529;341:30,541:80
1483.png	279:359,479:409;143:165,343:215;12:46,212:96;46:377,246:427
1484.png	263:313,463:363;535:23,735:73;253:434,453:484;91:181,291:231
1485.png	451:473,651:523;205:148,405:198;17:290,217:340;236:68,436:118
1486.png	307:23,507:73;344:247,544:297;28:99,228:149;236:320,436:370
1487.png	137:8,337:58;104:83,304:133;454:8,654:58;223:287,423:337
1488.png	120:89,320:139;42:227,242:277;313:179,513:229;521:482,721:532
